q_id,name,gnd,instance_of,birth,death,books_total,books_non_selfpub,books_selfpub,qualifies,confidence,requires_review,has_dewiki,publishers,sample_titles,wikidata_url,dewiki_url,swisscovery_search_url
Q1097819,Claudia Storz,131729039,Mensch,1948-06-13,,200,200,0,True,gnd,False,True,Aargauische Kantonalbank; Baden-Verlag; Benziger; Buchclub Ex Libris; Bucher Verlag; Ex Libris; Fischer Taschenbuch; Fischer Taschenbuch Verlag; Fischer-Taschenbuchverlag; Francke; Jean Frey AG; Leykam Verlag; Müller & Schade; Nagel & Kimche; Nagel und Kimche; Piper; Rex-Verlag; Stapferhaus; Tidens Förlag; Verlag Neue Zürcher Zeitung; [Pro Infirmis]; eFeF-Verlag; efef-Verlag,"""Innehalten in Romainmôtier"" | [35-Zeilen-Geschichte] | [Am Fluss ?] | [Claudia Storz: Welches Buch steht Ihnen am nächsten?] | [Frau und Kunst]",https://www.wikidata.org/wiki/Q1097819,https://de.wikipedia.org/wiki/Claudia_Storz,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,131729039&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q1499487,Robert Blum,118664085,Mensch,1900-11-27,1994-12-10,200,200,0,True,gnd,False,True,[Verlag nicht ermittelbar],"""Mit tausend Liedern hast du gegrüsst -"" : [Hommage à Robert Blum, geb. 27. November 1900] | ""Wir danken Dir, Herr Jesus Christ"" : Choral-Partite, 1958-1959 : Realisation für neun Instrumente: Flöte, Oboe, Englischhorn, Fagott, 1. und 2. Violine, Viola, Cello, Kontrabass | [Bellikoner Kantate] : [für Männer-, gem. chor und Blasorchester] | [Brief ?] an Eva-Maria Sameli-Blum, Gerhard Sameli-Blum, Lukas Blum, Heidi Blum, Martin Blum | [Brief ?] an Robert Blum",https://www.wikidata.org/wiki/Q1499487,https://de.wikipedia.org/wiki/Robert_Blum_(Komponist),"https://swisscovery.slsp.ch/discovery/search?query=any,contains,118664085&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q120438,Urs Bitterli,121083942,Mensch,1935-11-28,2021-04-21,200,200,0,True,gnd,False,True,"Artemis; Atlantis; Atlantis Verlag; Beck; Benziger; Bitterli [Selbstverlag]; Bundesamt für Kulturpflege; Böhlau; C. H. Beck; C.H. Beck; Deutscher Taschenbuch-Verlag; Deutscher Taschenbuchverlag; Europa Verlag; Ex Libris; Fondo de Cultura Económica; Gondolat; Jacobs Suchard Museum; Kindler; Lang; NZZ Verlag; Nationale Schweizerische UNESCO-Kommission; Neue Zürcher Zeitung; P. Lang; Polity Press; R. Oldenbourg; Radioropa-Hörbuch; Routledge; Rowohlt-Taschenbuch-Verlag; Sauerländer; Stanford University Press; Steiner; Verlag C.H. Beck; Verlag Neue Zürcher Zeitung; Zentralstelle der Studentenschaft; [Verlag nicht ermittelbar]; hier + jetzt, Verlag für Kultur und Geschichte","""Als zitiere mich irgendeine geheimnisvolle Macht zum schlesischen Abschiednehmen."" : schlesische Schriftsteller zwischen Heimat und Nationalsozialismus | ""Chaube"" ""Kahwe"" ""Copha"" ""Caffe"" : vom Kaffee in frühen Reiseberichten | ""Dies Buch ist mein Acker"" : der Kanton Aargau und seine Volksschullesebücher im 19. Jahrhundert"" | ""Diesen Durst der Seele stillen"" : die Reisebeschreibung ""Caledonia"" von Emilie von Berlepsch: eine Frauenreise nach Schottland im Jahr 1800 | ""Frei sein, ganz frei sein in der schönen Gotteswelt!"" : die Reiseberichte der Cecile von Rodt (1855-1929)",https://www.wikidata.org/wiki/Q120438,https://de.wikipedia.org/wiki/Urs_Bitterli,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,121083942&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q15432249,Ernst Kunz,116612606,Mensch,1891-06-02,1980-01-31,199,199,0,True,gnd,False,True,"A. Gysin; Breitkopf & Härtel; C.F. Peters; Edition Peters; Feldegg; Fonoteca Nazionale Svizzera; Gebr. Hug & Co; Gebrüder Hug; Georg Rentsch; Gesangverein; Hug; Hug & Co; Hug & Co. (Kommissionsverlag); Hüni; Josef Weinberger; Kanton Solothurn; Komm. Krompholz; Kommissions-Verlag ; Züricher Liederbuchanstalt; Kommissions-Verlag Zürcher Liederbuchanstalt; Kommissionsverl. Krompholz; Kommissionsverlag Hug; Kommissionsverlag Zürcher Liederbuchanstalt; Musikhaus Hüni; Musikverlag zum Pelikan; Möseler; Müller & Schade; Otto Walter; Pelikan; Sauerländer; Schweizerischer Arbeitersängerverband. Liederverlag; Staatlicher Lehrmittelverlag; Verlag der Sekundarlehrer-Konferenzen der Kantone St. Gallen, Thurgau und Zürich; Verlag der Zürcher Liederbuchanstalt; Verlag der aufführenden Vereine; Zürcher Liederbuchanstalt; [A. Haller, im Selbstverlag]; [Verlag nicht ermittelbar]; [ZBS]; [s.l.]","1 Brief an [Paul] Huber | 17. Reife : aus ""Huttens letzte Tage"" | 175 Jahre Aargau : offenes Singen auf der Lenzburg : Leitung: Dirk Girod : Mitwirkend: Kammerchor Zurzach | 20 neue Lieder : leichte bis mittelschwere Originalkompositionen zeitgenössischer Tonsetzer für vierstimmigen Männerchor a cappella | 3 Briefe an Rudolf Schwabe",https://www.wikidata.org/wiki/Q15432249,https://de.wikipedia.org/wiki/Ernst_Kunz_(Komponist),"https://swisscovery.slsp.ch/discovery/search?query=any,contains,116612606&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q23062779,Georges Güntert,120900319,Mensch,1938-06-27,,199,199,0,True,gnd,False,True,A la Baconnière; ADAG; Academia del Hispanismo; Brill Fink; Cesati; Dadò; De Gruyter; Dieterich'sche Verlagsbuchhandlung; Dom Quixote; EDI-6; Ed. Casagrande; Editorial de la Universidad Complutense; Edizioni Casagrande; F. Cesati; Francesco Cesati Editore; Francke; Franco Cesati; G. Narr; Juris; Juris Druck und Verlag; L.S. Olschki; Lang; Loffredo; P. Lang; Pacini; Prometheus; Puvill; Puvill libros S.A; [s. n.],"""C'è ancora un mondo là fuori?"" : un'analisi de ""La grande Eulalia"" di Paolo Capriolo | ""Cosima"" : Grazia Deledda | ""De los nombres de Cristo"" de Fray Luis de León : ""a todas las cosas la vezindad y el cotejo de su contrario las descubre más y las haze salir"" | <<La>> ""Griselda"" dall'Italia alla Spagna : Boccaccio, Petrarca, Metge, Lope de Vega | <<As>> ""Histórias na história"", ou, As visões frustradas do profeta no auto da compadecida",https://www.wikidata.org/wiki/Q23062779,https://de.wikipedia.org/wiki/Georges_G%C3%BCntert,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,120900319&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q1583837,Hansjakob Seiler,118612913,Mensch,1920-12-16,2018-08-13,199,199,0,True,gnd,False,True,"Akademie-Verlag; Belles Lettres; Benjamins; C. H. Beck; Centre international de dialectologie générale; Clarendon Press; Dr. Ludwig Reichert; Droz; ENS ÉDITIONS; Editions Patiño; Editions de l'Université de Bruxelles; Faculté des Lettres, langues et Sciences humaines; Francke; G. Narr; Gunter Narr; HVA; Hungarian Academy of Science; Indiana University; Institut für Sprachwissenschaft; Institut für Sprachwissenschaft, Universität zu Köln; Izdatel’stvo “Nauka”; John Benjamins; L.A.U.D; LINCOM; Landschaftsverband Rheinland; Linguistic Society of America; Malki Museum Press; Mouton; Mouton de Gruyter; Peter Lang; Schwabe & Co; Société pour l'Information grammaticale; Summer Institute of Linguistics; The University of Chicago; The University of Chicago Press; The linguistic circle of Copenhagen; Universalienprojekt Institut für Sprachwissenschaft Universität Köln; Universidad de Guadalajara; Universität. Institut für Sprachwissenschaft; Université de Compiègne; Van den Hoeck & Ruprecht; Vandenhoeck und Ruprecht; Verlag der UNgarischen Akademie der Wissenschaften; Walter de Gruyter; Westdeutscher Verlag; Wilhelm Fink; Wissenschaftliche Buchgesellschaft; [Droz]; [Verlag nicht ermittelbar]",[Dokumentensammlung Hansjokaob Seiler] | [Feldnotizen Hansjakob seiler | [Linguistische Forschungsberichte und Publikationen aus der Bibliothek Hansjakob Seiler] | [Linguistische Forschungsberichte und Publikationen aus der Biblitohek Hansjakob Seiler] | [Linguistische Forschungsberichte und Publikationen aus der Biblitohek Hansjakob Seiler],https://www.wikidata.org/wiki/Q1583837,https://de.wikipedia.org/wiki/Hansjakob_Seiler,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,118612913&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q1793590,Kurt Guggenheim,118543393,Mensch,1896-01-14,1983-12-05,199,199,0,True,gnd,False,True,Huber; Praesens-Film; Verlag Huber; [Verlag nicht ermittelbar],"""Alles in allem"" : Roman | ""Alles in allem"" : Roman | ""Gerufen und nicht gerufen"" : Roman ; ""Nachher"" : vier Erzählungen | ""Landammann Stauffacher"" : Drehbuch | ""Riedland "" : ; ""Sandkorn für Sandkorn""",https://www.wikidata.org/wiki/Q1793590,https://de.wikipedia.org/wiki/Kurt_Guggenheim,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,118543393&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q112490251,Stephan Kunz,130535850,Mensch,1962-01-01,,199,199,0,True,gnd,False,False,"Aarauer Kunstraum; Aargauer Kunsthaus; BNP Paribas Group; Baden-Verlag; Bündner Kunstmueum; Bündner Kunstmuseum; Bündner Kunstmuseum Chur; Cooperative Drucki; Edition Franz Mäder; Edition Franz Mäder Galerie; Edition Frey; Edition Howeg; Edition Patrick Frey; Edition der Tage; Edizioni Periferia; Fondazione Garbald; GSMBA, Sektion Aargau; Gachnang & Springer; Galerie Carzaniga; Gruppe BNP Paribas; Hatje; Hatje Cantz; Hirmer; Howeg; IKO - Verlag für Interkulturelle Kommunikation; Jungle Books; K. Seiler-Michalitsi [etc.]; Kehrer; Kerber; Kunsthalle Basel; König; L. Müller; LIT Verlag Lars Müller; Lars Müller Publishers; Lars Müller; Museum Kunst Palast; Musée d'art et d'histoire; Pelicanfilms; Periferia; Schachen-Galerie; Scheidegger & Spiess; Scheidegger&Spiess; Snoeck; Somedia Buchverlag; Steidl; Stiftung Hans-Trudel-Haus; Stroemfeld / Roter Stern; Stroemfeld/Roter Stern; Till Schaap Edition; Verl. für Moderne Kunst; Verlag Lars Müller; Verlag der Buchhandlung Walther König; Verlag der Buchhandlung Walther und Franz König; Verlag der Buchhandlung Walther und Franz König; Verlag für moderne Kunst; Verlag für Moderne Kunst; Verlag für moderne Kunst; Verlag für moderne Kunst Nürnberg; Vexer Verlag; [Aargauer Kunsthaus]; [Berowergut]; [Borås Konstmuseum]; [GSMBA Aargau]; [Musée des Beaux-Arts cantonal]; [Verlag nicht ermittelbar]; everyedition",<<The>> Aargauer Kunsthaus Aarau | Aargauer Kunsthaus Aarau | Abraham David Christian - Jenseits der Sprache : = Abraham David Christian - Da l'autra vart da la lingua = Abraham David Christian - Oltre il linguaggio | Adrian Schiess : Werke 1978-2012 | Alberto Giacometti : Porträt des Künstlers als junger Mann,https://www.wikidata.org/wiki/Q112490251,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,130535850&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q120184,Eugen Bircher,118838822,Mensch,1882-02-17,1956-10-20,198,198,0,True,gnd,False,True,"Barth; Basler Druck- und Verlags-Anstalt; Buchdruckerei von Gustav Lange (Paul Lange); C. Marpon et E. Flammarion, Editeurs; Commissionsverlag von Schmid, Francke & Comp., vormals J. Dalp'sche Buchhandlung; De L'Imprimerie de Simard; Druck und Verlag von Emil Wirz, vormals J.J. Christen; Druck und Verlag von Gebrüder Räber; Druck und Verlag von Ineichen und Comp; Druck und Verlag von Otto Hendel; Druck von J.A. Pradella; Eduard Hölzel; Ernest Leroux, Editeur; Ernst Siegfried Mittler und Sohn; F.A. Brockhaus; G. Reimer; Georg H. Wigand; Haller'sche Verlagsbuchhandlung; Henri Charles-Lavauzelle, Editeur militaire; Hurter'sche Buchhandlung; Imprimerie Berger-Levrault et Cie; Imprimerie Centrale Genevoise; J. Hubers Verlag; J.H.Ed. Heitz ( Heitz & Mündel); Junker & Dünnhaupt; Librairie des Bibliophiles; Otto Spamer; Revue médicale de la Suisse Romande; Société générale de Librairie Catholique, Victor Palmé; Stämpflische Buchhandlung; Typographische Anstalt von J. Westfehling; Urban & Schwarzenberg; Verlag Von H. Haessel; Verlag der H. Laupp'schen Buchhandlung; Verlag von A. Munk, vorm. Trüb'sche Buchhandlung; Verlag von Eduard Baldamus; Verlag von Emil Roth; Verlag von Emil Strauss; Verlag von Ernst Kuhn; Verlag von George Westermann; Verlag von H. R. Sauerländer; Verlag von Meyer und Zeller; Verlag von Wilhelm Engelmann; [Eidgenössische Militärbibliothek]; [Verlag nicht ermittelbar]; bei Friedrich Maurer; bey Friedrich Jakob Bek; bey Friedrich Nicolovius; chez Arkstée et Merkus; gedruckt bei Joseph Hraschanzky; im Verlage der L.R. Walthard'schen Buchhandlung","""General Fischer"" und der Freiämtersturm | ""Paramirisches"" und anderes Schriftwerk der Jahre 1531-1535 aus der Schweiz und Tirol | <<Les>> ""Réflexions"" du Dr. E. Bircher sur la médecine des accidents : (à propos d'un livre des prof. Drs. Dubois et Zollinger) | [Abdankungsrede für Alfred Strüby, verstorben am 2.2.1949] | [Besprechung von] Homer Lea: Die Stunde der Angelsachsen",https://www.wikidata.org/wiki/Q120184,https://de.wikipedia.org/wiki/Eugen_Bircher,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,118838822&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q998019,Friedrich Niggli,117018899,Mensch,1875-12-15,1959-11-03,198,198,0,True,gnd,False,True,Amstutz & Herdeg; Gebr. Hug; Gebrüder Hug; Gebrüder Hug & Co; H.R. Sauerländer; Hug; Jecklin; Kommissionsverlag von Hug; Kunzelmann; Müller & Schade; Müller & Schade AG; Müller and Schade; Müller-Gyr; R. Müller-Gyr Söhne; Verlag von R. Müller-Gyr Söhne; Zentralbibliothek,[Brief ?] an Robert Faesi | [Volkslieder mit Opuszahl] | [Volkslieder ohne Opuszahl] | 1 Brief an Adolf Ribi | 1 Brief an Artemis-Verlag,https://www.wikidata.org/wiki/Q998019,https://de.wikipedia.org/wiki/Friedrich_Niggli,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,117018899&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
