q_id,label,given,family,gnd,instance_of,birth,death,dewiki_url,has_dewiki,wikidata_url
Q100871456,Beat Gloor,Beat,Gloor,138582815,Mensch,1959-07-27,2020-02-06,https://de.wikipedia.org/wiki/Beat_Gloor,True,https://www.wikidata.org/wiki/Q100871456
Q100937370,Petra Young-zie Barthelmess Röthlisberger,Petra,Barthelmess,132119749,Mensch,1968-01-01,,,False,https://www.wikidata.org/wiki/Q100937370
Q102159116,Karl Matter,Karl,Matter,1060405423,Mensch,1874-01-01,1957-01-01,,False,https://www.wikidata.org/wiki/Q102159116
Q102225759,Thomas Fehlmann,Thomas,Fehlmann,130341061,Mensch,,,,False,https://www.wikidata.org/wiki/Q102225759
Q1022329,Christoph Baumann,Christoph,Baumann,135574773,Mensch,1954-06-26,,https://de.wikipedia.org/wiki/Christoph_Baumann_(Musiker),True,https://www.wikidata.org/wiki/Q1022329
Q102357490,Sensu,Jasmin,Peterhans,,Mensch,2000-01-01,,https://de.wikipedia.org/wiki/Sensu_(Musikerin),True,https://www.wikidata.org/wiki/Q102357490
Q102370055,Werner Gautschi,Werner,Gautschi,126011109,Mensch,1927-01-01,,,False,https://www.wikidata.org/wiki/Q102370055
Q104145172,Peter Grünenfelder,Peter,Grünenfelder,128352639,Mensch,1967-01-01,,,False,https://www.wikidata.org/wiki/Q104145172
Q104525172,Dino Brandão,Dino,,,Mensch,2000-01-01,,https://de.wikipedia.org/wiki/Dino_Brand%C3%A3o,True,https://www.wikidata.org/wiki/Q104525172
Q1046713,Casal-Quartett,,,10201410-3,Musikgruppe / Streichquartett,,,https://de.wikipedia.org/wiki/Casal-Quartett,True,https://www.wikidata.org/wiki/Q1046713
Q105428,Johann Heinrich Pestalozzi,Johann,Pestalozzi,118592912,Mensch,1746-01-12,1827-02-17,https://de.wikipedia.org/wiki/Johann_Heinrich_Pestalozzi,True,https://www.wikidata.org/wiki/Q105428
Q106013783,Karl Weber,Karl,Weber,143613669,Mensch,1936-09-02,,,False,https://www.wikidata.org/wiki/Q106013783
Q106147418,Emmy Henz-Diémand,Emmy,,1089757905,Mensch,1937-10-14,2017-04-01,https://de.wikipedia.org/wiki/Emmy_Henz-Di%C3%A9mand,True,https://www.wikidata.org/wiki/Q106147418
Q106254804,Hans Ulrich Reifler,Hans,Reifler,123795664,Mensch,1949-10-16,,https://de.wikipedia.org/wiki/Hans_Ulrich_Reifler,True,https://www.wikidata.org/wiki/Q106254804
Q106303704,Thomas Pfisterer,Thomas,Pfisterer,1089931530,Mensch,1941-05-07,,https://de.wikipedia.org/wiki/Thomas_Pfisterer,True,https://www.wikidata.org/wiki/Q106303704
Q106426605,Stephan Rey,Stephan,Rey,1228825807,Mensch,1968-06-01,,,False,https://www.wikidata.org/wiki/Q106426605
Q106575,Ingo Potrykus,Ingo,Potrykus,172321093,Mensch,1933-12-05,,https://de.wikipedia.org/wiki/Ingo_Potrykus,True,https://www.wikidata.org/wiki/Q106575
Q107062974,Gerhard Neidhöfer,Gerhard,,1089124015,Mensch,1931-01-01,2021-11-18,https://de.wikipedia.org/wiki/Gerhard_Neidh%C3%B6fer,True,https://www.wikidata.org/wiki/Q107062974
Q107305174,Maria Luisa Cantos,Maria Luisa,Cantos,134343093,Mensch,1943-01-01,,,False,https://www.wikidata.org/wiki/Q107305174
Q107314323,Lukas Maisel,Lukas,Maisel,1216520461,Mensch,1987-01-01,,https://de.wikipedia.org/wiki/Lukas_Maisel,True,https://www.wikidata.org/wiki/Q107314323
Q107635975,Rosmarie Baltensweiler,,,1196829659,Mensch,1927-01-01,2020-04-10,https://de.wikipedia.org/wiki/Rosmarie_Baltensweiler,True,https://www.wikidata.org/wiki/Q107635975
Q1080123,Christian Haller,Christian,Haller,122237153,Mensch,1943-02-28,,https://de.wikipedia.org/wiki/Christian_Haller_(Schriftsteller),True,https://www.wikidata.org/wiki/Q1080123
Q108321502,Paolo Bianchi,Paolo,Bianchi,115762817,Mensch,1960-01-01,,,False,https://www.wikidata.org/wiki/Q108321502
Q1083408,Christine Aufderhaar,Christine,,135517745,Mensch,1972-02-18,,https://de.wikipedia.org/wiki/Christine_Aufderhaar,True,https://www.wikidata.org/wiki/Q1083408
Q1083755,Christine Rinderknecht,Christine,Rinderknecht,12357367X,Mensch,1954-12-05,,https://de.wikipedia.org/wiki/Christine_Rinderknecht,True,https://www.wikidata.org/wiki/Q1083755
Q108478092,Doris Schmid,Doris,Schmid,1089381905,Mensch,1968-04-04,,,False,https://www.wikidata.org/wiki/Q108478092
Q1084957,Christoph Gallio,Christoph,Gallio,13923389X,Mensch,1957-03-21,,https://de.wikipedia.org/wiki/Christoph_Gallio,True,https://www.wikidata.org/wiki/Q1084957
Q108697784,Ulf Bossel,Ulf,Bossel,174098618,Mensch,1936-04-24,2025-08-31,https://de.wikipedia.org/wiki/Ulf_Bossel,True,https://www.wikidata.org/wiki/Q108697784
Q108730361,Fabienne Hoerni,Fabienne,,,Mensch,1974-12-25,,https://de.wikipedia.org/wiki/Fabienne_Hoerni,True,https://www.wikidata.org/wiki/Q108730361
Q108761933,Andreas Zünd,Andreas,Zünd,1211432106,Mensch,1957-02-08,,https://de.wikipedia.org/wiki/Andreas_Z%C3%BCnd,True,https://www.wikidata.org/wiki/Q108761933
Q108811562,Inge Dahm,Inge,Dahm,1358745374,Mensch,1920-01-01,2002-01-01,,False,https://www.wikidata.org/wiki/Q108811562
Q109375311,Norbert Lang,Norbert,,124797792,Mensch,1934-10-10,,https://de.wikipedia.org/wiki/Norbert_Lang_(Ingenieur),True,https://www.wikidata.org/wiki/Q109375311
Q1097819,Claudia Storz,Claudia,Storz,131729039,Mensch,1948-06-13,,https://de.wikipedia.org/wiki/Claudia_Storz,True,https://www.wikidata.org/wiki/Q1097819
Q110018905,Benjamin von Wyl,Benjamin,von Wyl,1079183841,Mensch,1990-01-01,,https://de.wikipedia.org/wiki/Benjamin_von_Wyl,True,https://www.wikidata.org/wiki/Q110018905
Q110221856,Annelise Zwez,Annelise,,121567192,Mensch,1947-11-07,,https://de.wikipedia.org/wiki/Annelise_Zwez,True,https://www.wikidata.org/wiki/Q110221856
Q1104106,Co Streiff,Co,Streiff,134943651,Mensch,1959-04-05,,https://de.wikipedia.org/wiki/Co_Streiff,True,https://www.wikidata.org/wiki/Q1104106
Q110493758,Josef Lang,Josef,,1045783382,Mensch,1879-03-27,1946-05-13,https://de.wikipedia.org/wiki/Josef_Lang_(Filmproduzent),True,https://www.wikidata.org/wiki/Q110493758
Q110647394,Kathrin Schmidlin,Kathrin,Schmidlin,1243764287,Mensch,1990-01-01,,https://de.wikipedia.org/wiki/Kathrin_Schmidlin,True,https://www.wikidata.org/wiki/Q110647394
Q110895573,Lorenz Andreas Wüthrich,Lorenz,,1140507710,Mensch,1981-01-01,,,False,https://www.wikidata.org/wiki/Q110895573
Q111236870,Ernst Zimmerli,Ernst,Zimmerli,1055287795,Mensch,1908-07-21,1975-03-17,https://de.wikipedia.org/wiki/Ernst_Zimmerli,True,https://www.wikidata.org/wiki/Q111236870
Q111248873,Elisabeth Kübler,Elisabeth,Kübler,1252405456,Mensch,1931-07-04,,https://de.wikipedia.org/wiki/Elisabeth_K%C3%BCbler,True,https://www.wikidata.org/wiki/Q111248873
Q111671615,Otto Müller,Otto,Müller,123117526,Mensch,1905-01-01,1995-01-01,,False,https://www.wikidata.org/wiki/Q111671615
Q112352535,Aurelius Belz,Thomas,Belz,120434717,Mensch,1959-01-01,,,False,https://www.wikidata.org/wiki/Q112352535
Q112354036,Adolf Fuchs,Adolf,Fuchs,1299411118,Mensch,1924-05-23,2020-06-06,,False,https://www.wikidata.org/wiki/Q112354036
Q112360191,Mieczyslaw Taube,Mieczyslaw,Taube,108078132,Mensch,1918-01-01,2009-01-01,,False,https://www.wikidata.org/wiki/Q112360191
Q112369110,Uwe F. W. Bauer,Uwe,Bauer,115797785,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q112369110
Q112379484,Hans Fiechter,Paul,Fiechter,172085942,Mensch,1947-01-01,,,False,https://www.wikidata.org/wiki/Q112379484
Q112383108,Josef Breuss,Josef,Breuss,1122652445,Mensch,1938-01-01,,,False,https://www.wikidata.org/wiki/Q112383108
Q112408472,Thomas Marent,Thomas,,131997300,Mensch,1966-01-01,,,False,https://www.wikidata.org/wiki/Q112408472
Q112409116,Renate Lauper,Renate,Lauper,123687101,Mensch,1954-01-01,,,False,https://www.wikidata.org/wiki/Q112409116
Q112415196,Kurt Meier,Kurt,Meier,123622565,Mensch,1953-01-01,,,False,https://www.wikidata.org/wiki/Q112415196
Q112422599,Beat Rütti,Beat,,,Mensch,1953-01-01,,,False,https://www.wikidata.org/wiki/Q112422599
Q112424860,Bruno Meier,Bruno,Meier,134609131,Mensch,1949-01-01,,,False,https://www.wikidata.org/wiki/Q112424860
Q112433286,Hans Jörg Leu,Hans,Leu,120686015,Mensch,1926-01-01,2023-05-03,,False,https://www.wikidata.org/wiki/Q112433286
Q112463783,Andreas Hunziker,Andreas,Hunziker,135634202,Mensch,1968-01-01,,,False,https://www.wikidata.org/wiki/Q112463783
Q112476377,János Moser,Janos,Moser,1034792857,Mensch,1989-01-01,,https://de.wikipedia.org/wiki/J%C3%A1nos_Moser,True,https://www.wikidata.org/wiki/Q112476377
Q112476563,Thomas Doppler,Thomas,Doppler,143996576,Mensch,1941-01-01,,,False,https://www.wikidata.org/wiki/Q112476563
Q112490251,Stephan Kunz,Stephan,Kunz,130535850,Mensch,1962-01-01,,,False,https://www.wikidata.org/wiki/Q112490251
Q112491426,Roger Kaysel,Roger,,1043230580,Mensch,1938-10-31,,,False,https://www.wikidata.org/wiki/Q112491426
Q112494593,Arthur Brühlmeier,Arthur,Brühlmeier,110693906,Mensch,1934-01-01,,,False,https://www.wikidata.org/wiki/Q112494593
Q112522307,Andrey Fedorchenko,Andrej,Fedortschenko,133858200,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q112522307
Q112531116,Alfred Bühler,Alfred,Bühler,120639890,Mensch,1943-01-01,2024-02-01,,False,https://www.wikidata.org/wiki/Q112531116
Q112535101,Joel László,Joel,László,1138052663,Mensch,1982-01-01,,,False,https://www.wikidata.org/wiki/Q112535101
Q112556615,Christoph Schneeberger,Christoph,Schneeberger,1219931055,Mensch,1976-01-01,,,False,https://www.wikidata.org/wiki/Q112556615
Q112560414,Pascale Marder,Pascale,Marder,1167013840,Mensch,1977-01-01,,,False,https://www.wikidata.org/wiki/Q112560414
Q112687424,Heinz Goetschy,Heinz,Goetschy,133563073,Mensch,1942-08-08,2012-11-03,,False,https://www.wikidata.org/wiki/Q112687424
Q112687537,Hermann Muntwyler,Hermann,,1082253774,Mensch,1898-09-16,1984-03-16,,False,https://www.wikidata.org/wiki/Q112687537
Q112687541,Jürg Nänni,,,119101289,Mensch,1942-05-09,2019-01-28,https://de.wikipedia.org/wiki/J%C3%BCrg_N%C3%A4nni,True,https://www.wikidata.org/wiki/Q112687541
Q112687609,Karl Rudolf Schwarb,Rudolf,,1077890877,Mensch,1914-08-26,1999-04-17,,False,https://www.wikidata.org/wiki/Q112687609
Q112768770,Marcel Paa,Marcel,Paa,1173426612,Mensch,1985-01-30,,https://de.wikipedia.org/wiki/Marcel_Paa,True,https://www.wikidata.org/wiki/Q112768770
Q113399014,Riccardo Bonfranchi,Riccardo,,115573801,Mensch,1950-01-01,,,False,https://www.wikidata.org/wiki/Q113399014
Q113399813,Josef Hochstrasser,Josef,Hochstrasser,118920995,Mensch,1947-01-01,,,False,https://www.wikidata.org/wiki/Q113399813
Q113400307,Werner Laubi,Werner,Laubi,120173735,Mensch,1935-01-01,,,False,https://www.wikidata.org/wiki/Q113400307
Q113494465,Hugo Werner Doppler,Hugo,Doppler,1276990472,Mensch,1942-07-26,,https://de.wikipedia.org/wiki/Hugo_W._Doppler,True,https://www.wikidata.org/wiki/Q113494465
Q113585915,Walther Zschokke,Walther,Zschokke,1047832356,Mensch,1870-01-01,1951-01-01,https://de.wikipedia.org/wiki/Walther_Zschokke,True,https://www.wikidata.org/wiki/Q113585915
Q113716673,Werner van Gent,Werner,Gent,122629795,Mensch,1953-01-01,,https://de.wikipedia.org/wiki/Werner_van_Gent,True,https://www.wikidata.org/wiki/Q113716673
